1,Evan “headsupfpv” Turner,"$4,000"
2,Thomas “BMSThomas” Bitmatta,"$2,000"
3,Alex “CaptainVanover” Vanover,"$1,250"
4,Ashton “Drobotracer” Gamble,"$1,000"
5,Eli “Bull-Fpv” Abitbol,$600
6,Cory “MewoFPV” Ibanez,$500
7,Patrick “Enginair” White,$400
8,Christian “Amari” Van Sloun,$250
9,Liam “WaFL” Flanagan,
10,Silas “Propsicle” Aaron,
11,John “JohnEFly” Chapman,
12,shaun “Nytfury” taylor,
13,Maximiliano “Saber” Fernandez,
14,Beckett “Noical” Verrilli,
15,Andy “DolmaFpv” Marachilian,
16,Mason “Hyper” Lively,
17,Lucas “Droner” Dearborn,
18,Timothy “SkyFPV” Ichiyasu,
19,Joshua “WILDTYPE” Locsin,
20,TIM “timbo_fpv” AMERO,
21,Justin “Itwillbefun” Skinner,
22,Colby “SFPV” Curtola,
23,Pedro “Pino151” Caceres,
24,Soren “phatkid” Monroe-Anderson,
25,Kevin “kmead” Mead,
26,Alex “Chief” Campbell,
27,SebastiÃ¡n “SebaFPV” Espinal Ferreira,
28,Christopher “FLYKUX” Bevan,
29,rafael “Fallo” cabanas,
30,Terry “Beastmode” Arscott,
31,Tristan “TDog2” Tefft,
32,Ethan “EthanFPV” Kling,
33,Russell “BigRuss” Jackson,
34,Jonny “NeonFPV” Exner,
35,William “Billster” Schuette,
36,Jonathan “Imperius” Ficklin,
37,Dillon “HOOPES” Hoopes,
38,Armando “Mondo” Gallegos,
39,Tomas “Tomatefpv” Faundez,
40,Neil “NM_Grower” Marek,
41,Brady “Laffin” McLaughlin,
42,Christian “AdaptFPV” Logsdon,
43,Timofey “Din” Germanov,
44,Jerrod “Jrod” Quillen,
45,Jim “KneeDown” Snodgrass,
46,david “Hazardfpv” spencer,
47,Thomas “Spicy” Cinnamon,
48,Jacob “jawz” Schneider,
49,Nicholas “DirtyMuffin” Knickerbocker,
50,Christopher “Killer_Beeman” Beeman,
51,Robert “JFK” Lacroix,
52,Jacob “JakeHammer” Capobres,
53,Dave “MakerFPV” Schlitter,
54,Blake “Buhlahkay” Gabriel,
55,Randel “Daleflyz” Pike,
56,Shawn “Shames” Ames,
57,Don “T3hDon” Honaker,
58,Jose “Quino-fpv” Quinonez,
59,Daniel “Danimal_FPV” Hubert,
60,Anthony “AyyyKayyyFPV” Knight,
61,Kyle “Twidgit” Buell,
62,Marshall “-MAYHEM-” Scalisi,
63,Rand “Randbrand” Brewer,
64,Greg “AlpiFPV” Kasjaniuk,
65,Tony “SolidFpv” Esparza,
66,Angelo “RangerCowboy” Re,
67,Jeff “Jeffpv” Comer,
68,nick “SHERMANATOR” sherman,
69,Alec “LundyFPV” Lunsford,
70,Rodimir “RodyFpv” Tavarez,
71,mark “BoomerangFPV” Bryan,
72,Derek “Platinum” Clee,
73,Seth “SethPV” Griggs,
74,Torjus “TUfpv” Ullern,
75,Corey “CoreyRC” Ross,
76,Andrew “Cappy_One” Coppola,
77,Daniel “BigNasty” Bolton,
78,Joaquin “Jbox” Ybanez,
79,Mitchell “FireSerpent” Biehl,
80,Dustin “Flipmode” Gower,
81,Dave “KrispyDave” Zubkov,
82,Lehan “LehanMTC” Vander,
83,Kyle “Formula_FPV” Wentworth,
84,Hogeun “Krush” lee,
85,Kevin “Whitenoise” Lee,
86,Bryton “PrazeFPV” Schwab,
87,Jacob “Scorcher” Bohler,
88,Jannik “Ja9k” Kokkvoll,
89,Noah “NOSSFPV” Ossanna,
90,Philip “Sub” Arndt,
91,david “FarmerBoy” Knowlton,
92,Kyle “DreamZ” Kaufman,
93,Reggie “R3” Ramos,
94,Ruben “agentbrown” John,
95,Rick “SSBelmont” Caudle,
96,Trey “Soy” Pfeiffer,
97,Ian “SkyFallFPV” Hemphill,
98,Gregory “CharlotteAerial” Hurst,
99,Brady “OrbitFPV” Shovelin,
100,Zachary “PiMan” Rodenbucher,
101,Joshua “Zstone” Zelmon,
102,Jaden “JJB_FPV” Bayrooti,
103,Ben “hex” Coates,
104,Jamison “RussellAR” Russell,
105,Nick “Nickwasp” Lee,
106,Joshua “yawno” Lewis,
107,Sonny “Sonnyfpv” Dickerson,
108,ricardo “Champino” samuel,
109,James “JThomas” Thomas,
110,Nick “NICKTHEDESTROYER” Staley,
111,Ricardo “DualFpv” GarcÃ­a,
112,Winston Francis “flyingfrancis” Garthwaite,
113,Robert “CravenFPV” Gentel,
114,Christian “Stealth_Fpv” Ojala,
115,Jess “rotorgrrl” Farrar,
116,Calvin “kinematic” Hull,
117,Sergio “ATTOMIC” Herrera,
118,Asep “SUNDAKHAOS” Mawardi,
119,Elkanah “FattyEL” Ringer,
120,Max “BayMax” Dorsey,
