1,"Evan ""headsupfpv"" Turner","$5,000"
2,"alex ""captainvanover"" vanover","$2,000"
3,"Soren ""phatkid"" Monroe-Anderson","$1,000"
4,"Eli ""Bull-Fpv"" Abitbol",$500
5,"Cory ""MewoFPV"" Ibanez",$500
6,"Jonathan ""JT_FPV"" Templeton",$250
7,"Christian ""AdaptFPV"" Logsdon",$250
8,"Andy ""DolmaFpv"" Marachilian",$250
9,"Mark ""Mcgap"" Braymer",
10,"Kevin ""kmead"" Mead",
11,"Liam ""WaFL"" Flanagan",
12,"Matthew ""ChewyFPV"" Nordt",
13,"Gilbert ""32bitsofGil"" Coronado",
14,"Zach ""FalconX"" Carlson",
15,"Anthony ""AKnumbers"" Kuhns",
16,"Colby ""SFPV"" Curtola",
17,"Paul ""NURK"" Nurkkala",
18,"Ken ""FlyingBear"" Loo",
19,"Ashton ""Drobotracer"" Gamble",
20,"Ian ""Thrash"" Pataky",
21,"Dallas ""MURICAFPV"" Kemp",
22,"Mason ""Hyper"" Lively",
23,"Patrick ""Enginair"" White",
24,"John ""JohnEFly"" Chapman",
25,"Joshua ""LeninFPV"" Funn",
26,"Don ""T3hDon"" Honaker",
27,"Jerrod ""Jrod"" Quillen",
28,"Michael ""SparkyMJ"" Saalwaechter",
29,"Jordan ""JET"" Temkin",
30,"Ivan ""limon"" Efimov",
31,"Jonny ""NeonFPV"" Exner",
32,"Justin ""Itwillbefun"" Skinner",
33,"Olaf ""Viking_Fpv"" Hichwa",
34,"Russell ""BigRuss"" Jackson",
35,"Christopher ""FLYKUX"" Bevan",
36,"Matt ""FAZED"" Loven",
37,"Sergio ""Surgicalfpv"" Aicardi",
38,"Jacob ""jawz"" Schneider",
39,"Christian ""Amari"" Van Sloun",
40,"rafael ""Fallo"" cabanas",
41,"Armando ""Mondo"" Gallegos",
42,"Christopher ""fpvCH"" Hartman",
43,"Cooper ""SupaCoopa"" Groves",
44,"Aaron ""KidDrone"" Vliet",
45,"Christian ""fpvprovo"" Petersen",
46,"Lou ""LunaticFPV"" Averbach",
47,"Josh ""spitfire"" Sarchet",
48,"Dave ""KrispyDave"" Zubkov",
49,"Christopher ""OTTER"" Moore",
50,"Lucas ""Droner"" Dearborn",
51,"Jordan ""RacerJo"" Harris",
52,"Gerald ""sirspeedy"" Dale",
53,"Brodie ""Robogenesis"" Springer",
54,"Kevin ""FineFPV"" Fine",
55,"Dave ""MakerFPV"" Schlitter",
56,"Ethan ""EthanFPV"" Kling",
57,"James ""jamestheripper"" Mcgee",
58,"Maximiliano ""Saber"" Fernandez",
59,"Timofey ""Din"" Germanov",
60,"Sonny ""Sonnyfpv"" Dickerson",
61,"Timothy ""SkyFPV"" Ichiyasu",
62,"Thomas ""T-Wrecks"" Heenan",
63,"Brady ""OrbitFPV"" Shovelin",
64,"Jon ""FAERRY"" Gaiser",
65,"Adrian ""ItsCharles"" Adams",
66,"Aaron ""inburst"" Jones",
67,"Nicholas ""Nicnac-fpv"" Hoffmann",
68,"Neil ""NM_Grower"" Marek",
69,"Austen ""aus10"" Elam",
70,"Avi ""JackNimble"" Gileadi",
71,"Robert ""JFK"" Lacroix",
72,"Shawn ""Shames"" Ames",
73,"Zachary ""PiMan"" Rodenbucher",
74,"david ""FarmerBoy"" Knowlton",
75,"Angelo ""AngeloFPV"" Re",
76,"Noah ""NOSSFPV"" Ossanna",
77,"David ""Old_Man_FPV"" Mills",
78,"Bryson ""Redfive"" Hagerman",
79,"Gordon ""2Bad"" Shaughnessy",
80,"Chris ""Chriviper"" Ledford",
81,"Matthew ""SidewinderFPV"" Nowakowski",
82,"Bob ""neeyo"" U",
83,"Reggie ""R3"" Ramos",
84,"Aaron ""FallenSeraph"" Ladd",
85,"Alec ""LundyFPV"" Lunsford",
86,"Jordan ""Millennial_Falcon"" Krueger",
87,"Kevin ""Whitenoise"" Lee",
88,"Terry ""Beastmode"" Arscott",
89,"David ""Minichado"" Machado",
90,"Lucas ""lukenation"" Littlefield",
91,"Tadd ""Stat"" Eells",
92,"Ken ""sp00ls"" Murphy",
93,"Chris ""Doughboy"" Doughman",
94,"Marshall ""-MAYHEM-"" Scalisi",
95,"Ron ""Schnurrfpv"" Schnurr",
96,"Delroy ""MidThrottle"" McEwan",
97,"Elkanah ""FattyEL"" Ringer",
98,"Thi ""TTmilk"" Van",
99,"Thomas ""Spicy"" Cinnamon",
100,"Owen ""OwenFPV"" Irving",
101,"Bryton ""PrazeFPV"" Schwab",
102,"Matt ""Hot_Nasty_KingFPV"" King",
103,"Vincent ""Redpoint"" Miller",
104,"Anthony ""AyyyKayyyFPV"" Knight",
105,"Kyle ""DreamZ"" Kaufman",
106,"Felix ""CLOUDBURN"" Perez",
107,"Ollie ""OKFPV"" Krause",
108,"Blake ""Nubb"" Sams",
109,"Max ""The_Herder"" Goin",
110,"William ""Billster"" Schuette",
111,"Harrison ""ProfessorXDC"" gale",
112,"nick ""SHERMANATOR"" sherman",
113,"Ashon ""AshonFPV"" Bristol",
114,"david ""Hazardfpv"" spencer",
115,"Lonnie ""K1NG"" King",
116,"Jeff ""Jeffpv"" Comer",
117,"Connor ""FadeAway"" Petersen",
118,"Ron ""RocketRonbo"" Rossetti",
119,"Ben ""seak_FPV"" Kaminski",
120,"Ben ""Benihana"" Eishen",
121,"Isaac ""IWD"" Davis",
122,"Brent ""MavFPV"" Merrick",
123,"Chris ""Clyde"" Meier",
124,"Kevin ""FocusTheRage"" Dixon",
125,"bryce ""skyberries"" prestwich",
126,"Quang ""Q"" Tran",
127,"Elio ""EMDrones"" Mella",
128,"Rickey ""Mav-Rick"" White",
129,"Adam ""Adma20"" KkI",
130,"Seth ""SethPV"" Griggs",
131,"Anthony ""A-Wall"" Wall",
132,"Liam ""OutaTime"" Batanides",
133,"Jessika ""RotorGrrl"" Farrar",
134,"Jonathan ""Imperius"" Ficklin",
135,"Chris ""Reap3r"" Rhein",
136,"Daniel ""AbsoluteMayhem"" Muir",
137,"Ryan ""Flyinryan"" Waters",
138,"Nick ""KYTEFPV"" Moreno",
139,"Michael ""SweetThang_FPV"" Sweeting",
140,"ricardo ""Champino"" samuel",
141,"Dave ""Air-Badger"" Fignar",
142,"Mackenna ""McFly"" McClure",
143,"Caleb ""Kado"" Schneider",
144,"Byron ""Claymore"" Thurston",
145,"Kyle ""Footr"" Van Sandt",
146,"David ""DGRC"" Gohstand",
147,"Zachry ""A_Nub"" Thayer",
148,"Brady ""M-C_Laffin"" McLaughlin",
149,"Bryan ""BryMcFly"" Terry",
150,"Lacy ""Clutzz"" Morrow",
